Dataset;Approx. Size of RE;Size of an alphabet;Size of a generated input text;RE;Found by Suffix;Found by Naive;Time by Suffix [s];Time by Naive [s]
dataset01;16;4;100000;bd.*bdd(d|bbd.*d)abc(d|a)a;127830;44;40,075;tout
dataset02;16;4;500000;(b|d)bcca.*bd((c|c)bdd|db)b;261448;90;31,097;tout
dataset03;16;4;1000000;(b|b)b(dc|c)cc(a|a)bc.*bb(a|a);128250;1181;4,659;tout
dataset04;16;8;100000;h.*debh(h|ed)aa.*d(d|c)g(b|g);0;0;76,171;57,402
dataset05;16;8;500000;(h|g)(fe|e)bcb.*bhde(b|g)(c|a);174;1;2,734;tout
dataset06;16;8;1000000;h(g(a|c)|dbefebgbde.*b)a;534;534;2,911;0,323
dataset07;16;16;100000;(h|d.*)mec(i|d)(g|j)ac.*eadig;0;0;35,242;27,368
dataset08;16;16;500000;k(ohl|n.*mm(o|c)c)jpldhb;0;0;52,638;42,182
dataset09;16;16;1000000;jcpgmco.*e(h|p)ged.*gni;0;0;2,632;0,295
dataset10;16;24;100000;a(.*a|g)bxikgkcoifuci;0;0;21,77;19,052
dataset11;16;24;500000;fa.*eve(b(j|k)|e)j.*qsdkqt;0;0;24,504;21,506
dataset12;16;24;1000000;ttf(a|v)frnkveqwsjo;0;0;2,593;0,271
dataset13;24;4;100000;ac(a|a)(d|c).*aacdcdbdc.*b(c|d)bb(bb.*b|c);4290287;17797;11,056;tout
dataset14;24;4;500000;bd(c|c)c(cd(b|c).*c.*d|b)dad(a|adb)c((b|d)d|c);1744;9;3,6;tout
dataset15;24;4;1000000;(d|babb)bbcd(c|d)ca.*bddd(a|a)addca;17;1;4,885;tout
dataset16;24;8;100000;dc(.*e(d|e)|a)deh(c|bhfdf(e|a)fafcgb)c;0;0;8,939;7,609
dataset17;24;8;500000;(h|fa)(d|g)eb.*g(acd(d|d)|(f|h)aehhag)bdf;0;0;9,391;7,418
dataset18;24;8;1000000;decd.*g.*adffdg.*d(f|g)h(a|b)geace(a|e);0;0;16,573;11,629
dataset19;24;16;100000;p.*ehm(a|dl)h(f|h)e(n|f)dlhdai.*bcn(k|j);0;0;35,644;27,972
dataset20;24;16;500000;gki.*io.*mk(jfgel|h)(pmogoph.*n|(e|m))d;63;1;4,673;tout
dataset21;24;16;1000000;aib(c(n|e)bbh|c.*(e|b)apmflhjekj)ea;0;0;4,4;1,526
dataset22;24;24;100000;n.*brl(jpuhqikd(l|n)rne.*r|l(c|r).*)tkl;0;0;20,89;19,461
dataset23;24;24;500000;mx.*ob(.*dkrmbe(j|n)|m(h|m)kt)t(pu|c)xnl;0;0;26,852;22,076
dataset24;24;24;1000000;d(ou|(h|b)(w.*ua|(o|t)im)cn)egkdlwe(k|r)n;0;0;10,18;6,457
dataset25;32;4;100000;a(a.*b(b|b)(b|d.*bb)(c|b)c(d|ac)ad(c|c)a(d|d)a|cdbca)cd.*dd;5699;5030;36,145;tout
dataset26;32;4;500000;bd(d|d)dab.*ccacdc(ada.*c(b|a)c(a|c)|bab)(a|d(b|c))ba.*c;3353262;1;9,319;tout
dataset27;32;4;1000000;cdd(d(a|b)bbb|ac.*dc.*adcba(c|bc)c)b((b|a)|a)acbd(a|d);0;0;59,994;44,889
dataset28;32;8;100000;dg.*chbcehccggad.*ca(h.*ba(eg|c)feh|dh)hgbaa;0;0;8,505;7,127
dataset29;32;8;500000;ahh(c|d).*bd(c|d)bh(d|b)(g|e)bfg(cab.*cf.*cfhacdfb|e);0;0;8,237;6,856
dataset30;32;8;1000000;eec(f(d|a)d(cdh|c)|c(.*d|a).*eeehbf.*a.*dcb(b|f)ef(e|d)e)c;0;0;15,897;11,362
dataset31;32;16;100000;(g|k)(j|l).*i(o|gfcf)l(i|didkk)m.*clp.*eg.*hledbie.*n.*i;0;0;8,589;7,274
dataset32;32;16;500000;oi.*ik.*aogbp(m|c)(ecimph|pifj)bgi.*kfpnkfld;0;0;55,533;44,002
dataset33;32;16;1000000;il(h|i).*f(b|d)peo(f|i)d.*i.*n(c(.*p|a)ido|lagh)cn.*f(.*e|hg.*)c;0;0;28,391;23,896
dataset34;32;24;100000;g.*q(ol(f|t).*bk|(j|u))qs.*b.*xmn(jug|a.*v.*)v(l|d)evfulmsm;0;0;23,215;20,605
dataset35;32;24;500000;go.*d((j|c)dp(e|gubt)uk|axi)(l|n)jrpqad(j|k)xwwoe;0;0;22,532;20,076
dataset36;32;24;1000000;c(l|h)t.*i.*immslifsuo(.*e|qf)srgiihets(c|t)wjj;0;0;10,61;7,47
