Dataset,Size of an alphabet,Size of a generated input text,Number of RE,Matches Found,Time by Suffix [s],Time by Naive [s]
dataset01,4,100000,50,190,"1,811","2,69"
dataset02,4,500000,50,308,"3,732","5,31"
dataset03,4,1000000,50,917,"8,2","10,129"
dataset04,8,100000,50,21,"1,454","2,537"
dataset05,8,500000,50,14,"3,401","5,026"
dataset06,8,1000000,50,60,"7,899","9,509"
dataset07,16,100000,50,85,"1,352","3,102"
dataset08,16,500000,50,2,"2,98","5,249"
dataset09,16,1000000,50,4,"7,114","10,431"
dataset10,24,100000,50,1,"1,317","2,824"
dataset11,24,500000,50,0,"2,968","4,971"
dataset12,24,1000000,50,1,"7,001","10,05"
dataset13,4,100000,100,1362,"1,877","5,265"
dataset14,4,500000,100,3565,"4,042","9,464"
dataset15,4,1000000,100,6982,"8,997","20,682"
dataset16,8,100000,100,84,"1,652","5,39"
dataset17,8,500000,100,49,"3,755","9,542"
dataset18,8,1000000,100,1193,"8,123","20,191"
dataset19,16,100000,100,1,"1,443","5,127"
dataset20,16,500000,100,10,"3,239","9,153"
dataset21,16,1000000,100,8,"7,357","18,701"
dataset22,24,100000,100,0,"1,571","5,279"
dataset23,24,500000,100,20,"3,055","10,631"
dataset24,24,1000000,100,1,"7,093","19,361"
dataset25,4,100000,200,4206,"2,564","10,796"
dataset26,4,500000,200,6958,"4,748","21,518"
dataset27,4,1000000,200,20466,"10,125","42,11"
dataset28,8,100000,200,305,"1,934","10,395"
dataset29,8,500000,200,303,"4,161","18,357"
dataset30,8,1000000,200,815,"8,601","39,74"
dataset31,16,100000,200,17,"1,847","10,901"
dataset32,16,500000,200,27,"3,519","20,126"
dataset33,16,1000000,200,25,"7,605","39,513"
dataset34,24,100000,200,68,"1,777","10,318"
dataset35,24,500000,200,1,"3,233","20,502"
dataset36,24,1000000,200,3,"7,417","39,877"
