Dataset,Size of an alphabet,Size of a generated input text,Size of RE,RE,Found by Suffix,Found by Naive,Time by Suffix [s],Time by Naive [s]
dataset01,4,100000,15,aa(c|a)b.*cdcdd,33889,66,5.722,timeout
dataset02,4,500000,16,a(c|d(d|dd)dd)dd,1939,1939,1.295,0.21
dataset03,4,1000000,13,bddac(d|a)dcd,10,10,3.084,0.373
dataset04,8,100000,14,dh.*dbbdag.*gf,450360,199,60.218,timeout
dataset05,8,500000,23,g(a|g)((d|h)f.*g.*g|a)h,1755913,618,77.583,timeout
dataset06,8,1000000,15,(c|d)bgae.*aagb,6584,10,23.685,timeout
dataset07,16,100000,24,(a|d)p(.*(n|h)l|k)(f|p)m,2009,5,19.604,timeout
dataset08,16,500000,20,gd.*ng(o|l)e(.*c|m)i,1585217,9,221.831,timeout
dataset09,16,1000000,20,i((j|b)l|h)b.*bin.*m,9663506,3370,100.805,timeout
dataset10,24,100000,21,(g|t)(.*a|r(rs|h)u)ox,46871,5,119.755,timeout
dataset11,24,500000,20,do(.*v|wf)m.*a(re|e),411325,107,47.488,timeout
dataset12,24,1000000,21,s(x|v)s.*k(n|n)w(a|l),378,1,18.437,timeout
dataset13,4,100000,26,(b|ab(aa|b))d.*adc(b|b)ddc,28025,6,46.065,timeout
dataset14,4,500000,22,acbdb.*(d|c).*adbddadb,3560,3,15.408,timeout
dataset15,4,1000000,20,ccbabab.*dd(b|a)cabb,4241,8,7.344,timeout
dataset16,8,100000,30,(b|d)g.*fded(.*(b|g)|f.*ch)gag,72514,32,23.201,timeout
dataset17,8,500000,29,c(h|b)g.*h(ade|a)f(h|f)g(c|f),1569,4,64.974,timeout
dataset18,8,1000000,31,ff(f|c)(b|(g|f).*h.*be(a|h)g)he,4231,1,60.71,timeout
dataset19,16,100000,24,m.*gc.*l(n|kdhfg)l.*chel,2508,6,39.349,timeout
dataset20,16,500000,26,mjc.*p(j|k)hn.*ibl.*eib.*l,1408208,4639,6.955,timeout
dataset21,16,1000000,25,m(h|ph.*bd)ef(d|i).*niege,1,1,17.317,timeout
dataset22,24,100000,32,w(.*ixl|(o|e)ct.*h.*)p.*o(tah|j),292,187,23.921,timeout
dataset23,24,500000,25,(i|vxxox(n|m)mnw.*v)cw.*v,319982,3582,2.8,timeout
dataset24,24,1000000,28,(k|j)va.*ke(ra|qj.*h(e|k))on,234,1,10.649,timeout
dataset25,4,100000,40,cbcb(.*d(c|ba(.*c|c)d(abb.*a|d)d.*)aa|d),1186178,4726,4.399,timeout
dataset26,4,500000,36,c(d|b)ca(c|c).*ad(cc|bd.*)aa(bc|c)cd,279968,75,29.954,timeout
dataset27,4,1000000,41,(b|a)((c|a)d|ba)(d|b)(a|b)d(a|b)cbb(d|b)c,2,2,3.186,0.499
dataset28,8,100000,36,(c|ec(e|b)dfhcg.*)be(.*a|a)c(dfaa|h),17415,156,1.557,timeout
dataset29,8,500000,36,ghgd(.*ce|h).*gd(f.*b|e.*)bbb.*hhabf,1223,2,4.655,timeout
dataset30,8,1000000,36,hde((c|a)d|g)hb.*ffahfdc.*(e|f)(f|c),29138,1,3.651,timeout
dataset31,16,100000,44,(g|f.*)dao.*d(d(.*b|l)|h.*)l(c|f)b.*l.*adelm,5448,1,37.43,timeout
dataset32,16,500000,35,dlk(d|p)(m.*dgnnd|(n|h).*b)bppk.*gp,1848,40,1.478,timeout
dataset33,16,1000000,38,g(c|m)(d(j|a.*)dk.*o|k(c|k)b)nom.*kihk,216,2,4.427,timeout
dataset34,24,100000,42,f(q.*l.*liq|(f|g)e(.*a|i.*)qa(hn|toc.*)d)t,75,4,1.352,timeout
dataset35,24,500000,31,xp(h.*gqphmd|s)(l|lana)psc(q|h),0,0,2.071,0.98
dataset36,24,1000000,36,i((e|si)(a|p)(m|ks.*kdvx.*)d|efd)lkj,2,1,3.035,timeout
